transaction_id,type,order_amount,expected_settlement,actual_settlement,difference,likely_reason,recommended_action,confidence,human_review
TXN010,Date Mismatch,3000.0,2940.0,2940.0,0.0,The settlement date differs significantly from the expected settlement timeline.,"Check settlement batch timing, holidays, delays, and bank processing records.",0.91,REQUIRED
TXN016,Fee Mismatch,750.0,735.0,650.0,85.0,The settlement deduction does not match the expected processing fee.,Compare the recorded fee with the applicable payment fee and tax.,0.88,REQUIRED
TXN022,Fee Mismatch,500.0,490.0,400.0,90.0,The settlement deduction does not match the expected processing fee.,Compare the recorded fee with the applicable payment fee and tax.,0.88,REQUIRED
TXN023,Duplicate Transaction,750.0,735.0,735.0,0.0,The transaction appears to have been processed more than once.,Compare transaction identifiers and settlement records before approving any adjustment.,0.9,REQUIRED
TXN032,Amount Mismatch,5000.0,4900.0,4850.0,50.0,The settlement amount is lower than the expected settlement amount.,Review settlement adjustments and compare the payment and settlement records.,0.92,REQUIRED
TXN035,Duplicate Transaction,5000.0,4900.0,4900.0,0.0,The transaction appears to have been processed more than once.,Compare transaction identifiers and settlement records before approving any adjustment.,0.9,REQUIRED
TXN039,Date Mismatch,1000.0,980.0,980.0,0.0,The settlement date differs significantly from the expected settlement timeline.,"Check settlement batch timing, holidays, delays, and bank processing records.",0.91,REQUIRED
TXN042,Amount Mismatch,1500.0,1470.0,1270.0,200.0,The settlement amount is lower than the expected settlement amount.,Review settlement adjustments and compare the payment and settlement records.,0.92,REQUIRED
TXN044,Missing Settlement,1000.0,980.0,0.0,980.0,No settlement amount was recorded for this transaction.,Check whether the payment was successfully captured and investigate the missing settlement.,0.98,REQUIRED
TXN052,Amount Mismatch,1500.0,1470.0,1170.0,300.0,The settlement amount is lower than the expected settlement amount.,Review settlement adjustments and compare the payment and settlement records.,0.92,REQUIRED
TXN054,Date Mismatch,7500.0,7350.0,7350.0,0.0,The settlement date differs significantly from the expected settlement timeline.,"Check settlement batch timing, holidays, delays, and bank processing records.",0.91,REQUIRED
TXN058,Amount Mismatch,500.0,490.0,440.0,50.0,The settlement amount is lower than the expected settlement amount.,Review settlement adjustments and compare the payment and settlement records.,0.92,REQUIRED
TXN059,Amount Mismatch,3000.0,2940.0,2840.0,100.0,The settlement amount is lower than the expected settlement amount.,Review settlement adjustments and compare the payment and settlement records.,0.92,REQUIRED
TXN063,Missing Settlement,7500.0,7350.0,0.0,7350.0,No settlement amount was recorded for this transaction.,Check whether the payment was successfully captured and investigate the missing settlement.,0.98,REQUIRED
TXN066,Fee Mismatch,500.0,490.0,400.0,90.0,The settlement deduction does not match the expected processing fee.,Compare the recorded fee with the applicable payment fee and tax.,0.88,REQUIRED
TXN067,Date Mismatch,3000.0,2940.0,2940.0,0.0,The settlement date differs significantly from the expected settlement timeline.,"Check settlement batch timing, holidays, delays, and bank processing records.",0.91,REQUIRED
TXN076,Missing Settlement,10000.0,9800.0,0.0,9800.0,No settlement amount was recorded for this transaction.,Check whether the payment was successfully captured and investigate the missing settlement.,0.98,REQUIRED
TXN078,Amount Mismatch,2000.0,1960.0,1910.0,50.0,The settlement amount is lower than the expected settlement amount.,Review settlement adjustments and compare the payment and settlement records.,0.92,REQUIRED
TXN079,Amount Mismatch,5000.0,4900.0,4600.0,300.0,The settlement amount is lower than the expected settlement amount.,Review settlement adjustments and compare the payment and settlement records.,0.92,REQUIRED
TXN081,Duplicate Transaction,2500.0,2450.0,2450.0,0.0,The transaction appears to have been processed more than once.,Compare transaction identifiers and settlement records before approving any adjustment.,0.9,REQUIRED
TXN082,Duplicate Transaction,2000.0,1960.0,1960.0,0.0,The transaction appears to have been processed more than once.,Compare transaction identifiers and settlement records before approving any adjustment.,0.9,REQUIRED
TXN085,Date Mismatch,1000.0,980.0,980.0,0.0,The settlement date differs significantly from the expected settlement timeline.,"Check settlement batch timing, holidays, delays, and bank processing records.",0.91,REQUIRED
TXN093,Missing Settlement,500.0,490.0,0.0,490.0,No settlement amount was recorded for this transaction.,Check whether the payment was successfully captured and investigate the missing settlement.,0.98,REQUIRED
TXN096,Missing Settlement,2500.0,2450.0,0.0,2450.0,No settlement amount was recorded for this transaction.,Check whether the payment was successfully captured and investigate the missing settlement.,0.98,REQUIRED
TXN098,Missing Settlement,7500.0,7350.0,0.0,7350.0,No settlement amount was recorded for this transaction.,Check whether the payment was successfully captured and investigate the missing settlement.,0.98,REQUIRED
TXN099,Missing Settlement,1500.0,1470.0,0.0,1470.0,No settlement amount was recorded for this transaction.,Check whether the payment was successfully captured and investigate the missing settlement.,0.98,REQUIRED
